experiment;function;algorithm;bkpSize;n;t
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.002285ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.002048ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.002457ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.00212ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001312ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001649ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001867ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001892ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001171ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001363ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001921ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001966ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001142ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.00139ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.00181ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001897ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001186ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001523ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.00194ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001981ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001223ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001375ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.00181ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001974ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001251ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001417ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001835ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001909ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001175ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001373ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001737ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001966ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001212ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001388ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001787ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001848ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001178ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001414ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001769ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001795ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001214ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001383ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001748ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001834ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.00113ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001418ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.00182ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001908ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001225ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001354ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001824ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001863ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001136ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001427ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001896ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001881ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001219ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.00136ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001852ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001855ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.00114ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001373ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001817ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001911ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001149ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001402ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001881ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.00184ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001122ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001473ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001839ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001945ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001119ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001388ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001866ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001835ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001178ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001388ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001797ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001786ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001159ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001411ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001801ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001803ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001145ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001345ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001827ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001877ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001209ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001373ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001808ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001843ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.00114ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001361ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001759ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001846ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001156ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001361ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001831ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001808ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001141ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001372ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001792ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001929ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001146ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001367ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001796ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.00181ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001194ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001405ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001826ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.002086ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001193ms
