experiment;function;algorithm;bkpSize;n;t
compare_algorithms;fixedBkpSize;backtracking;100;2;0.006345ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.00552ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005335ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005314ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005329ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005341ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.00524ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005213ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.00529ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005235ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005278ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005377ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005256ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005144ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.00527ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.005327ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.00482ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004863ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004806ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004919ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004926ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004909ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004987ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004926ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004892ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004847ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004798ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004813ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004911ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004883ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004869ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.00484ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004778ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004895ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004814ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004868ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004837ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004832ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004903ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004831ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.00484ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004805ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004839ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004868ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004748ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004783ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004827ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004829ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004827ms
compare_algorithms;fixedBkpSize;backtracking;100;2;0.004917ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009656ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010197ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010809ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009848ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009939ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.011163ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.008195ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.011005ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010999ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.01097ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009996ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009905ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010997ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009966ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.01081ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.011032ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010037ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.008316ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009946ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.01112ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010133ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010714ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.006814ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.011057ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009965ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010931ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010935ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009881ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010011ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010191ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009964ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.01089ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.0106ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009873ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.011046ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.011123ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009941ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.00991ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009854ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.00983ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.011012ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.008168ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.009918ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010774ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010857ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010036ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010865ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.01087ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.010808ms
compare_algorithms;fixedBkpSize;backtracking;100;3;0.01082ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016059ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.021262ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018932ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.013211ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016183ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.015381ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.01652ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.023805ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018804ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020592ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020528ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020057ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022714ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018092ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.015879ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.015823ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.017828ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020516ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022576ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016339ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020343ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.019136ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018682ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018557ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018572ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022599ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018922ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.01631ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020658ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.023566ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020981ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.019869ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.021361ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016449ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.023848ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.021914ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.02169ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022382ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018068ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.016943ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.021509ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.019141ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022701ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.02017ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020589ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.018943ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.022384ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020723ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.023422ms
compare_algorithms;fixedBkpSize;backtracking;100;4;0.020523ms
