experiment;function;algorithm;bkpSize;n;t
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.022899ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.042195ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.022548ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.024216ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.008572ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.022478ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.018641ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006532ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.007008ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021641ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.01828ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006157ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.005926ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021616ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.01829ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.005876ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006382ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021395ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017413ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006007ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006737ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021426ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017874ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.005986ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.007058ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.020845ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.016963ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.005911ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006633ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021496ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017633ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006142ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006803ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021461ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017578ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.005936ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006242ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.02119ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017007ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006012ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006964ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.020754ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017383ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006077ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006081ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.020855ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017774ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.005862ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006241ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.031305ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.009538ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006903ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.007238ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021821ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.024917ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.004594ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.004613ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.016583ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.018761ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006863ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.007169ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021275ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017548ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.005996ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006998ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021706ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017819ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006071ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.005921ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021039ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017764ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.005691ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006823ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021125ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.017503ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.005741ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006387ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.02089ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.049394ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.006483ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.006994ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021947ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.014964ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001761ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.002026ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006362ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005197ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001773ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.002129ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006286ms
compare_algorithms;nEqualBkpSize;backtracking;2;2;0.005229ms
compare_algorithms;nEqualBkpSize;dynamic_programming;2;2;0.001719ms
compare_algorithms;nEqualBkpSize;bruteforce;2;2;0.001916ms
