experiment;function;algorithm;bkpSize;n;t
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.00303ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.009839ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.005634ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.00894ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001955ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.006441ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.005108ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002557ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.002129ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005969ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004852ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002487ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001741ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.006056ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004888ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002377ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.002091ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005882ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004969ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.00233ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001809ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005938ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004805ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002309ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001894ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005817ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004986ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002338ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001821ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005987ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004792ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002473ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001865ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005869ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004776ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002364ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001698ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.00585ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.005007ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002324ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001866ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005916ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004823ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002399ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001907ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005955ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004853ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002306ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.00183ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005963ms
compare_algorithms;nEqualBkpSize;backtracking;4;2;0.004925ms
compare_algorithms;nEqualBkpSize;dynamic_programming;4;2;0.002391ms
compare_algorithms;nEqualBkpSize;bruteforce;4;2;0.001723ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;4;2;0.005841ms
