experiment;function;algorithm;bkpSize;n;t
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;2;2;0.031049ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;2;2;0.04767ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;2;2;0.022357ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;2;2;0.023565ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;3;3;0.026475ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;3;3;0.040923ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;3;3;0.038048ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;3;3;0.009603ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;4;4;0.035928ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;4;4;0.055019ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;4;4;0.06611ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;4;4;0.011808ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;5;5;0.07937ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;5;5;0.076184ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;5;5;0.105901ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;5;5;0.014182ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;6;6;0.176525ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;6;6;0.1027ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;6;6;0.164852ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;6;6;0.017914ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;7;7;0.394073ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;7;7;0.165854ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;7;7;0.232005ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;7;7;0.02067ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;8;8;0.865362ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;8;8;0.212558ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;8;8;0.314456ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;8;8;0.023089ms
compare_algorithms;allItemsSize1Value1_nEqualsW;bruteforce;9;9;1.68729ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;9;9;0.131312ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;9;9;0.17384ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;9;9;0.012463ms
