experiment;function;algorithm;bkpSize;n;t
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.042195ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.022478ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021641ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021616ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021395ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021426ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.020845ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021496ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021461ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.02119ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.020754ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.020855ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.031305ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021821ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.016583ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021275ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021706ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021039ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021125ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.02089ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.021947ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006362ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006286ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006234ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006213ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006288ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006303ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006246ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006392ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006313ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006293ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.00633ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006417ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006371ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006428ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006243ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006336ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.00621ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006265ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006194ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006379ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006157ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006216ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006295ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006336ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006092ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006343ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.00632ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006444ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;2;2;0.006335ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011364ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011518ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011593ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011329ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011094ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011275ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.011035ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010687ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010554ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010641ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010604ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010345ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010417ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010663ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010713ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010444ms
compare_algorithms;nEqualBkpSize;meet_in_the_middle;3;3;0.010296ms
