experiment;function;algorithm;bkpSize;n;t
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.015385ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.004146ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.016713ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.012373ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.002058ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.002032ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.002894ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.003153ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001345ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001409ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001855ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.00179ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001204ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001305ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001863ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001833ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001212ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001274ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaOptimalidad;1;1;0.001755ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtracking;1;1;0.001839ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingSinPoda;1;1;0.001164ms
compare_backtracking;allItemsSize1Value1_nEqualsW;backtrackingPodaFactibilidad;1;1;0.001306ms
